iter	Passed	Remaining
0	6	1817
1	12	1914
2	18	1806
3	22	1665
4	28	1672
5	33	1639
6	39	1639
7	43	1599
8	48	1569
9	54	1574
10	60	1578
11	65	1565
12	69	1541
13	75	1549
14	81	1557
15	87	1555
16	93	1549
17	100	1581
18	106	1574
19	111	1554
20	116	1548
21	122	1545
22	127	1535
23	134	1542
24	138	1522
25	143	1516
26	149	1515
27	155	1509
28	160	1497
29	165	1486
30	171	1485
31	176	1478
32	181	1471
33	186	1457
34	191	1451
35	197	1448
36	203	1447
37	209	1442
38	213	1428
39	218	1422
40	224	1418
41	230	1413
42	234	1400
43	240	1397
44	245	1390
45	251	1387
46	256	1383
47	261	1373
48	267	1370
49	272	1364
50	278	1358
51	282	1347
52	287	1340
53	292	1334
54	298	1330
55	303	1321
56	308	1314
57	313	1309
58	319	1303
59	323	1294
60	328	1287
61	333	1280
62	338	1274
63	342	1264
64	349	1262
65	354	1256
66	360	1253
67	365	1248
68	370	1239
69	375	1235
70	381	1231
71	387	1225
72	392	1221
73	397	1213
74	403	1210
75	409	1206
76	416	1206
77	422	1201
78	427	1196
79	432	1188
80	437	1183
81	443	1178
82	448	1172
83	452	1164
84	458	1159
85	463	1153
86	469	1148
87	473	1141
88	478	1135
89	484	1130
90	490	1126
91	496	1122
92	503	1120
93	508	1113
94	513	1107
95	518	1102
96	523	1096
97	528	1089
98	536	1089
99	540	1081
100	546	1076
101	552	1072
102	558	1067
103	563	1062
104	568	1055
105	573	1049
106	579	1045
107	585	1040
108	590	1034
109	595	1027
110	600	1023
111	607	1019
112	614	1016
113	619	1011
114	625	1005
115	629	999
116	635	994
117	641	988
118	646	983
119	652	978
120	656	971
121	662	966
122	667	960
123	673	955
124	677	948
125	683	943
126	688	937
127	693	932
128	697	925
129	703	920
130	709	914
131	714	909
132	719	903
133	724	897
134	730	893
135	736	887
136	741	882
137	748	878
138	752	871
139	758	866
140	764	862
141	769	856
142	774	850
143	779	844
144	784	838
145	790	833
146	796	828
147	800	821
148	806	817
149	811	811
150	816	806
151	821	799
152	830	797
153	834	791
154	840	786
155	846	781
156	851	775
157	857	770
158	861	764
159	867	758
160	873	753
161	878	748
162	882	741
163	888	737
164	894	731
165	899	726
166	905	721
167	910	715
168	916	710
169	922	705
170	929	700
171	934	695
172	940	690
173	944	683
174	950	678
175	955	673
176	962	668
177	967	663
178	972	657
179	977	651
180	983	646
181	988	640
182	994	635
183	998	629
184	1003	624
185	1009	618
186	1015	613
187	1020	607
188	1025	602
189	1030	596
190	1035	590
191	1039	584
192	1045	579
193	1050	573
194	1056	568
195	1060	562
196	1065	557
197	1071	551
198	1077	546
199	1082	541
200	1086	535
201	1092	529
202	1098	525
203	1105	520
204	1111	514
205	1117	509
206	1123	504
207	1128	499
208	1133	493
209	1139	488
210	1145	483
211	1150	477
212	1155	471
213	1160	466
214	1165	460
215	1170	455
216	1174	449
217	1180	443
218	1185	438
219	1190	432
220	1195	427
221	1201	422
222	1206	416
223	1212	411
224	1218	406
225	1223	400
226	1230	395
227	1236	390
228	1241	384
229	1247	379
230	1253	374
231	1257	368
232	1263	363
233	1269	358
234	1274	352
235	1280	347
236	1285	341
237	1291	336
238	1296	330
239	1302	325
240	1307	320
241	1312	314
242	1317	309
243	1322	303
244	1328	298
245	1333	292
246	1338	287
247	1344	281
248	1349	276
249	1353	270
250	1362	265
251	1366	260
252	1372	254
253	1378	249
254	1383	244
255	1387	238
256	1393	233
257	1399	227
258	1405	222
259	1411	217
260	1415	211
261	1420	206
262	1426	200
263	1431	195
264	1435	189
265	1442	184
266	1447	178
267	1453	173
268	1459	168
269	1467	163
270	1473	157
271	1478	152
272	1483	146
273	1488	141
274	1494	135
275	1501	130
276	1507	125
277	1512	119
278	1516	114
279	1522	108
280	1528	103
281	1533	97
282	1538	92
283	1543	86
284	1550	81
285	1555	76
286	1561	70
287	1565	65
288	1571	59
289	1577	54
290	1582	48
291	1587	43
292	1592	38
293	1598	32
294	1604	27
295	1610	21
296	1616	16
297	1622	10
298	1626	5
299	1632	0
