iter	RMSE
0	1952.77318
1	1919.275298
2	1886.54224
3	1854.560072
4	1823.31462
5	1792.792835
6	1762.98025
7	1733.864506
8	1705.432464
9	1677.671208
10	1650.568526
11	1624.111905
12	1598.289409
13	1573.089413
14	1548.560451
15	1524.537691
16	1501.163629
17	1478.303578
18	1456.017155
19	1434.173982
20	1412.892449
21	1392.160634
22	1371.882765
23	1352.121162
24	1332.768988
25	1313.945265
26	1295.608406
27	1277.670261
28	1260.218073
29	1243.107903
30	1226.742158
31	1210.545072
32	1194.657847
33	1179.239534
34	1164.166246
35	1149.737064
36	1135.488029
37	1122.024643
38	1108.841621
39	1095.56357
40	1082.641103
41	1070.408175
42	1058.177033
43	1045.944218
44	1033.625384
45	1022.150239
46	1010.774606
47	999.3337084
48	988.5623631
49	978.2368916
50	968.2162312
51	957.847022
52	947.8153749
53	938.3715108
54	928.9140845
55	920.0747161
56	910.9318141
57	902.2011428
58	894.0563339
59	886.1953527
60	878.5729474
61	870.5429181
62	863.2551067
63	855.8162864
64	849.1522163
65	841.8992313
66	835.5703973
67	828.8579254
68	822.5742006
69	816.4308867
70	810.4843682
71	804.591626
72	798.7354462
73	793.3066561
74	788.0295768
75	782.5721232
76	777.5718982
77	772.4587559
78	767.7319072
79	763.0968239
80	758.6684677
81	754.3504587
82	749.8749854
83	745.7564921
84	741.7658194
85	737.1368759
86	732.6985564
87	728.5050075
88	724.052543
89	720.3690575
90	716.9844447
91	713.0401782
92	709.8077043
93	706.5508212
94	703.3910508
95	700.3701909
96	697.0591783
97	693.8149135
98	690.9949627
99	688.3690968
100	685.7230147
101	683.0659151
102	680.5847434
103	678.1131849
104	675.7650676
105	673.4555536
106	670.815499
107	668.6060289
108	666.1183227
109	663.2675199
110	661.3811713
111	659.0730391
112	656.1233179
113	654.0360448
114	652.1632553
115	650.2539069
116	648.2131481
117	646.6715254
118	644.8133439
119	643.3608764
120	641.0116973
121	639.6199463
122	638.2282671
123	636.7629808
124	634.5675786
125	632.3858522
126	630.9939512
127	628.9698237
128	627.5871354
129	626.0575638
130	624.9675732
131	623.1205341
132	621.4830181
133	619.7245497
