iter	Passed	Remaining
0	15	30645
1	29	29535
2	44	29349
3	58	29381
4	75	30314
5	91	30404
6	105	30087
7	120	30056
8	135	29950
9	150	30009
10	165	29911
11	182	30193
12	199	30498
13	216	30748
14	234	30968
15	249	30966
16	264	30896
17	279	30732
18	293	30601
19	307	30411
20	321	30282
21	334	30111
22	349	30063
23	366	30204
24	383	30271
25	397	30151
26	415	30350
27	430	30291
28	448	30460
29	464	30471
30	481	30601
31	497	30576
32	513	30596
33	527	30494
34	541	30400
35	556	30349
36	570	30256
37	583	30149
38	598	30068
39	613	30080
40	628	30032
41	645	30097
42	661	30091
43	675	30030
44	690	29981
45	703	29903
46	717	29821
47	731	29731
48	747	29756
49	762	29751
50	784	29969
51	802	30076
52	819	30090
53	837	30181
54	859	30390
55	876	30409
56	892	30414
57	909	30449
58	924	30402
59	938	30352
60	953	30317
61	968	30262
62	983	30232
63	998	30203
64	1011	30120
65	1026	30089
66	1040	30014
67	1054	29960
68	1070	29969
69	1086	29946
70	1101	29936
71	1117	29933
72	1132	29906
73	1147	29864
74	1162	29834
75	1179	29855
76	1194	29833
77	1262	31120
78	1283	31202
79	1296	31124
80	1312	31104
81	1328	31064
82	1350	31193
83	1365	31148
84	1379	31081
85	1393	31007
86	1406	30932
87	1420	30868
88	1435	30826
89	1452	30826
90	1466	30773
91	1481	30732
92	1495	30674
93	1509	30610
94	1523	30555
95	1537	30502
96	1551	30445
97	1565	30386
98	1579	30327
99	1594	30299
100	1609	30268
101	1623	30213
102	1637	30156
103	1651	30108
104	1665	30062
105	1680	30028
106	1694	29975
107	1709	29942
108	1725	29936
109	1739	29893
110	1754	29852
111	1769	29836
112	1787	29843
113	1802	29819
114	1816	29778
115	1831	29743
116	1845	29697
117	1858	29647
118	1873	29611
119	1889	29594
120	1903	29556
121	1919	29547
122	1933	29507
123	1947	29464
124	1963	29451
125	1978	29425
126	1994	29412
127	2012	29431
128	2027	29412
129	2043	29396
130	2060	29397
131	2074	29362
132	2089	29327
133	2105	29321
134	2119	29275
135	2132	29230
136	2147	29203
137	2161	29167
138	2178	29161
139	2193	29147
140	2209	29124
141	2224	29112
142	2241	29105
143	2257	29093
144	2273	29081
145	2287	29043
